ds,y
6/26/2025,393.54
6/26/2025,527.44
6/26/2025,114.28
6/26/2025,104.91
6/26/2025,26.77
6/26/2025,19109
6/26/2025,92.22
6/26/2025,78.48
6/26/2025,8706.2
6/26/2025,104.91
6/26/2025,3732.16
6/26/2025,632.69
6/26/2025,14.96
6/26/2025,4778.9
6/26/2025,7964.94
6/26/2025,16.13
6/26/2025,21
6/26/2025,1886.36
6/26/2025,17197
6/26/2025,1969.99
6/26/2025,476.95
6/26/2025,68107
6/26/2025,1208.18
6/26/2025,459.94
6/26/2025,89.67
6/26/2025,79.86
6/26/2025,653.41
6/26/2025,206.94
6/26/2025,517.63
6/26/2025,314.29
6/26/2025,21177
6/26/2025,381.74
6/26/2025,131121
6/26/2025,69.55
6/26/2025,5.38
6/26/2025,452.29
6/26/2025,83.57
6/26/2025,905.58
6/26/2025,104.91
6/26/2025,1866.08
6/26/2025,229.39
6/26/2025,211.04
6/26/2025,86.79
6/26/2025,219.63
6/26/2025,39.57
6/26/2025,675.47
6/26/2025,32.26
6/26/2025,42.01
6/26/2025,98.87
6/26/2025,225.23
6/26/2025,95.32
6/26/2025,172.64
6/25/2025,35068.59
6/24/2025,1133.18
6/24/2025,229.22
6/24/2025,121.46
6/24/2025,859.46
6/24/2025,414.05
6/24/2025,66.25
6/24/2025,20107
6/24/2025,195.6
6/24/2025,12168
6/24/2025,467.05
6/24/2025,44.44
